Word,POS,Stress
absentminded,,2
acetylcholine,,2
aeromedical,,2
aerostation,,2
aftereffect,,1
afternoon,n,2
aftersensation,,1
Alamein,,2
Allhallowmas,,2
Allhallows,,2
altocumulus,,2
antarctic,,2
anteprandial,,2
anteversion,,2
antimatter,,1
anymore,,2
archlute,,1
archway,,1
arsenopyrite,,2
Australasia,,2
biliteral,,2
binocular,,2
bioscience,,1
bronchiectasis,,2
chemosphere,,1
choplogic,,1
codomain,,1
cofactor,,1
cofunction,,1
commonsense,,2
coset,,1
costar,,1
cotype,,1
counteract,,2
counterattack,n,1
counterbalance,v,2
countercharge,v,2
counterclaim,v,2
countermove,v,2
counterproposal,,1
counterreply,n,1
countersubject,,1
coworker,,1
dealate,,1
dextrocardia,,2
diacetylmorphine,,2
diazomethane,,2
downtown,,2
duecento,,2
echocardiogram,,2
echocardiograph,,2
eftsoon,,2
Eurocommunism,,2
everlasting,,2
farewell,,2
fibroblast,,1
fluidextract,,2
forevermore,,2
goodbye,,2
gyrostabilizer,,2
hemelytron,,2
hereinafter,,2
heterocycle,,1
heterodyne,,1
heterograft,,1
heterophil,,1
hexamine,,1
hippocampus,,2
histamine,,1
hydropower,,1
hypoblast,,1
hypogene,,1
hyponasty,,1
hypostyle,,1
inbreeding,,1
infiltrate,,1
infrasound,,1
infrastructure,,1
insufflate,,1
interstate,n,1
intraday,,1
invalid,aj,2
lambaste,,2
lookalike,,1
malfunction,,2
malodorous,,2
maltreat,,2
malware,,1
medicolegal,,2
mercaptopurine,,2
meseems,,2
methacrylate,,2
methinks,,2
methylal,,2
methylbenzene,,2
methylnaphthalene,,2
microchip,,1
micromillimeter,,1
microprogram,,1
microreader,,1
Microsoft,,1
minicomputer,,1
misfire,n,1
moreover,,2
multiparty,,2
narcosynthesis,,2
neuroscientist,,2
neurotransmitter,,2
newsmagazine,,1
noncom,,1
nonsense,,1
nymphomaniac,,2
offset,v,2
oleomargarine,,2
outshot,v,2
overate,,2
overcharges,v,2
overcharge,v,2
overdraw,,2
overeat,,2
overreach,,2
overreliance,,2
oversee,,2
overseen,,2
overseer,,1
paramedic,,2
penannular,,2
peninsula,,2
peninsular,,2
penultimate,,2
petrochemical,,2
petrochemistry,,2
phenylalanine,,2
philhellene,,2
pinafore,,1
planoconcave,,2
planoconvex,,2
portcullis,,2
portmanteau,,2
prefix,,1
protolanguage,,1
protomartyr,,1
protozoa,,2
redial,n,1
redo,n,1
remake,n,1
replay,n,1
resaw,v,2
Rockhampton,,2
saltpeter,,2
semidemisemiquaver,,2
semilegendary,,1
semipro,n,2
servocontrol,n,1
slugabed,,1
standalone,,1
statampere,,2
stenopetalous,,2
straightforward,,2
subaltern,,2
subchapter,,1
sublease,v,2
subnotebook,,1
subroutine,,1
sulfaguanidine,,2
sulfathiazole,,2
supercalender,,1
superconducting,,2
superconductor,,2
superfund,,1
supergiant,,1
superhero,,1
superminicomputer,,2
superpower,,1
superstar,,1
sympetalous,,2
synchrocyclotron,,2
tarmacadam,,1
teleconference,,1
telemarketer,,1
telemarketing,,1
teleport,,1
telerecord,,1
telesoftware,,1
teletext,,1
therefore,,1
thereupon,,1
throughout,,2
tricornered,,1
triethylamine,,1
turnverein,,1
ultrastructure,,1
understeer,v,2
underutilize,,2
underwriting,,1
underwrote,,1
uniaxial,,2
unilocular,,2
upstanding,,2
videocassette,,1
wherefore,,1
wherewithal,,1
withal,,2
without,,2
woebegone,,1
wordperfect,,2
