Word,Parts
agravic,
alistair,
andante,
antabuse,
antagonist,
antagonize,
anybody,any-body
arcane,
archenteric,
archenteron,
armorbearer,armor-bearer
aromatherapy,aroma-therapy
ashake,
ashanti,
ashcroft,
ashore,
ashram,
autogamy,
autolysis,
autotrophy,
barbarian,
barbaric,
barbette,
barbola,
birddog,bird-dog
bitesize,bite-size
bitterroot,bitter-root
boattail,boat-tail
bodyguard,body-guard
bogeymen,bogey-men
boottopping,boot-topping
bottommost,bottom-most
canakin,
cannot,can-not
carbohydrate,
carlota,
carmela,
cartel,
cartoon,
cattail,cat-tail
cayuse,
concelebrate,con-celebrate
concelebration,con-celebration
condisciple,con-disciple
confraternity,con-fraternity
consubstantial,con-substantial
consubstantiate,con-substantiate
consubstantiation,con-substantiation
coulombmeter,coulomb-meter
cryptogam,
dampproof,damp-proof
diffuse,
disoperation,dis=operation
earreach,ear-reach
eellike,eel-like
electrode,
emetic,
enteric,
facsimile,
filmmaker,film-maker
filmmaking,film-making
flattop,flat-top
goddamn,
goddaughter,god-daughter
granddad,grand-dad
granddaughter,grand-daughter
heretical,heretic=al
hisself,his-self
idiomorphic,
implead,
inescapable,
itself,it-self
lamppost,lamp-post
loosestrife,loose-strife
malaria,
mallorca,
mammalogical,
mandate,
marcato,
marcel,
marcella,
marmot,
martina,
mawkin,
menology,
menorca,
mentor,
mercurial,
mercuric,
meristic,
mondale,
monodic,
monomer,
monsanto,
monsoon,
montane,
national,nation=al
nitrometer,
northumbria,
octavo,
ohmmeter,ohm-meter
orientate,
palearctic,
pampean,
pandora,
pantalone,
parabole,
parachute,
parador,
parados,
paraglider,
paragraph,
parakeet,
paralytic,
parametric,
paramount,
paranymph,
parapet,
paraphrase,
parasang,
paraselene,
paraselenic,
parasite,
parasitology,parasite-ology
parasol,
paratactic,
parataxis,
paravail,
parclose,
partake,
periapt,
pericarp,
perigee,
perisperm,
phonoreception,phono-reception
photopia,
photopic,
phototonus,
planarian,
polycrates,
postoperative,post=operative
psychobabble,
psychograph,
psychopath,
psychopomp,
psychosis,
pyrolysis,
pyrosis,
quadrupedal,quadruped=al
ready,
renascent,
riparian,
roommate,room-mate
roseate,
scienter,
seicento,
sitology,
staminode,
standoff,stand-off
stepparent,step-parent
tableland,table-land
teammate,team-mate
tetrode,
transferrin,
whencesoever,whence-soever
whoremonger,whore-monger
without,with-out
zenaida,
zoochore,
