Traditional,POS,Redirect,Lytspel
a,,,ay
aa,,,aa
AAA,,,aya'yay
Aachen,,,Aachen
Aalborg,,,Aalboarg
Aalesund,,,Aalissund
aalii,,,aaliy
Aalst,,,Aalst
Aalto,,,Aalto
Aarau,,,Arow
aardvark,,,ardvark
aardwolf,,,aadwoolf
Aargau,,,Aagow
Aaron,,,Airen
Aaronic,,,A'ronic
Aaronical,,,A'ronicl
ab,,,ab
aba,,,a'ba
abac,,,a'bak
abaca,,,a'baca
abacist,,,abacist
aback,,,a'bak
abacus,,,abacuss
Abadan,,,A'baden
Abaddon,,,A'baden
abaft,,,a'baft
abalone,,,a'baloan
abamp,,,abamp
abampere,,,a'bampeer
abandon,,,a'banden
abandoned,,,a'bandend
abandonedly,,,a'bandendli
abandonee,,,ebando'nee
abandoning,,,a'bandening
abandonment,,,a'bandenment
abandonments,,,a'bandenments
abandons,,,a'bandens
abas,,,a'bas
abase,,,a'baiss
abased,,,a'baist
abasement,,,a'baisment
abash,,,a'bash
abashed,,,a'basht
abashedly,,,a'bashidli
abasia,,,a'baicia
abask,,,a'bask
abate,,,a'bait
abated,,,a'baited
abatement,,,a'baitment
abatements,,,a'baitments
abates,,,a'baits
abating,,,a'baiting
abatis,,,abeti
abatises,,,a'batyses
abatjour,,,a'batjer
abattoir,,,abatwar
abaxial,,,a'baxial
abb,,,ab
abba,,,aba
abbacy,,,abeci
abbas,,,abes
Abbasid,,,Abecid
abbatial,,,a'baishel
abbe,,,ab
abbes,,,abs
abbess,,,abess
Abbevillian,,,Ab'vilian
abbey,,,abi
abbot,,,abet
Abbott,,,Abet
abbreviate,,,a'breeviait
abbreviated,,,a'breeviaited
abbreviates,,,a'breeviaits
abbreviating,,,a'breeviaiting
abbreviation,,,abreevi'aition
abbreviations,,,abreevi'aishens
abbs,,,abs
Abby,,,Abi
abcoulomb,,,ab'cuulom
Abdias,,,Abdias
abdicant,,,abdikent
abdicate,,,abdicait
abdicated,,,abdicaited
abdicates,,,abdicaits
abdicating,,,abdicaiting
abdication,,,abdi'caition
abdomen,,,abdemen
abdominal,,,ab'dominel
abdominally,,,ab'domineli
abdominous,,,ab'dominuss
abduce,,,ab'duess
abducens,,,ab'duecens
abducent,,,ab'duecent
abducentes,,,ab'duecents
abduct,,,ab'duct
abducted,,,ab'ducted
abductee,,,abduc'tee
abductees,,,ab'ductees
abducting,,,ab'ducting
abduction,,,ab'duction
abductions,,,ab'ducshens
abductor,,,ab'ducter
abductors,,,ab'ducters
abducts,,,ab'ducts
Abdul,,,Abdul
Abe,,,Aib
abeam,,,a'beem
abecedarian,,,abeci'dairian
abecedarium,,,abeci'dairiam
abecedary,,,a'becideri
abed,,,a'bed
Abednego,,,Abednego
Abel,,,Aibl
Abelard,,,Abelard
abele,,,a'bel
abeles,,,aibels
abelian,,,aibelian
abelmosk,,,aibelmosk
Abelson,,,Abilsen
Abeokuta,,,Abi'oakiuta
Aberdare,,,Aberdair
Aberdeen,,,Aberdeen
Aberdonian,,,Aber'doanian
Abernathy,,,Abernathi
aberrant,,,a'berrent
aberration,,,abe'raition
aberrational,,,abe'raishenel
aberrations,,,abe'raishens
abessive,,,a'beciv
abet,,,a'bet
abetted,,,a'beted
abetter,,abettor
abetting,,,a'beting
