Moby;Phonetic;Sample;Phonetic Sample;Notes
A;á;far, palm;fár, pám
a;a;Occasional transcription mistake
à;a;ami;amë;In foreign (e.g. French) words, written "A" without surrounding "/" in the raw Moby data
(@);ä;airplane;ärplän;Before [r]
&;a;cat, bad;kat, bad
aI;ï;ice;ïs
AU;aú;how;haú
b;b;nab;nab
d;d;pod;pod
D;ð;the, thus;ð', ðus
dZ;j;junk, vegetable;juńk, vejt'bl
[@];é;burn;bérn;Only before [r], except in a handful of foreign words
E;e;red;red
eI;ä;day;dä
f;f;elf;elf
g;g;fig;fig
h;h;had;had
hw;ẃ;white;ẃït;Spoken like [w] in most variants
i;ë;see;së
I;i;bid, hit;bid, hit
j;y;you, yes;yü, yes
k;k;act;akt
l;l;fail;fäl
m;m;aim;äm
n;n;and;and
N;ń;bang;bań
ǹ;n;vicomte;vëkont;In foreign (e.g. French) words, written "N" without surrounding "/" in the raw Moby data
Oi;oi;oil;oil
O;o;dog;dog
oU;ö;boat;böt
p;p;imp, pen;imp, pen
R;r;Florian;Florëá;In foreign (e.g. German) words
r;r;wire, role, trap;wïr, röl, trap
S;ś;she;śë
s;s;sit;sit
-;';tire, handle, sodden;tï'r, hand'l, sod'n
tS;ć;ouch;aúć
t;t;tap;tap
T;þ;bath;baþ
@;u;cup, ado, system;cup, 'dü, sist'm;Also used for ['] since Moby doesn't distinguish between the two!
U;ú;book;búk
u;ü;too;tü
V;v;In some foreign words
v;v;van, average;van, av'rij
w;w;win;win
W;w
x;k;tocher;tãk'r;In foreign words
y;é;coiffeur;kwáfér;In foreign (e.g. French) words
Y;ë;duchesse;dëśes;In foreign (e.g. French) words
Z;ź;vision;viź'n
z;z;zoo, citizen;zü, sitiz'n
¾;';Occasional transcription mistake
