Traditional,POS,Redirect,PhonEng,RP,GA
a,,,ä°,"ˈeɪ",
aa,,,á°á,"ˈɑː",
AAA,,,trip'lä°,"ˌeɪˌeɪˈeɪ",
Aachen,,,á°k'n,"ˈɑːtʃən",
Aalborg,,,á°lbórg,"ˈɑːlbɔːɡ","ˈɑːlboːɹɡ"
Aalesund,,,á°l'sún,"ˈɑːlɪsˌʌnd",
aalii,,,álë°ë,"ˈɑːlɪˌaɪ",
Aalst,,,á°lst,"ˈɑːlst",
Aalto,,,á°lto,"ˈɑːltəʊ","ˈɑːltoʊ"
Aarau,,,á°raú,"ˈɑːɹaʊ",
aardvark,,,á°rdvárk,"ˈɑːdvɑːk","ˈɑːɹdvɑːɹk"
aardwolf,,,á°rdwúlf,"ˈɑːdwʊlf","ˈɑːɹdwʊlf"
Aargau,,,á°rgaú,"ˈɑːɡaʊ","ˈɑːɹɡaʊ"
Aaron,,,ä°r'n,"ˈeəɹən","ˈɛɹən"
Aaronic,,,äro°nik,"ˈɑːɹˈɒnɪk","ˈɑːɹˈɑːnɪk"
Aaronical,,,äro°nik'l,"ˈɑːɹˈɒnɪkəl","ˈɑːɹˈɑːnɪkəl"
ab,,,a°b,"ˈab","ˈæb"
aba,,,'bá°,"ɐbˈa","ɐbˈæ"
abac,,,ä°bak,"ɐbˈak","ɐbˈæk"
abaca,,,ábáká°,"abˈakə","æbˈækə"
abacist,,,a°b'sist,"ˈabɐsˌɪst","ˈæbɐsˌɪst"
aback,,,'ba°k,"ɐbˈak","ɐbˈæk"
abacus,,,a°b'k's,"ˈabakəs","ˈæbækəs"
Abadan,,,áb'dá°n,"ɐbˈadən","ɐbˈædən"
Abaddon,,,'ba°d'n,"ɐbˈadən","ɐbˈædən"
abaft,,,'ba°ft,"ɐbˈaft","ɐbˈæft"
abalone,,,ab'lö°në,"ɐbˈaləʊn","ɐbˈæloʊn"
abamp,,,a°bamp,"ɐbˈamp","ɐbˈæmp"
