a: ä°
AA: á°á
AAA: trip'lä°
Aachen: á°k'n
Aalborg: á°lbórg
Aalesund: á°l'sún
aalii: álë°ë
Aalst: á°lst
Aalto: á°lto
Aarau: á°raú
aardvark: á°rdvárk
aardwolf: á°rdwúlf
Aargau: á°rgaú
Aaron: ä°r'n
Aaronic: äro°nik
Aaronical: äro°nik'l
AB: a°b
ABA: 'bá°
abac: ä°bak
abaca: ábáká°
abacist: a°b'sist
aback: 'ba°k
abacus: a°b'k's
Abadan: áb'dá°n
Abaddon: 'ba°d'n
abaft: 'ba°ft
abalone: ab'lö°në
abamp: a°bamp
abampere: aba°mpër
abandon: 'ba°nd'n
abandoned: 'ba°nd'nd
abandonedly: 'ba°nd'ndlë
abandonee: 'band'në°
abandoning: 'ba°nd'niń
abandonment: 'ba°nd'nm'nt
abandonments: 'ba°nd'nm'nts
abandons: 'ba°nd'nz
abas: á°b's
abase: 'bä°s
abased: 'bä°st
abasement: 'bä°sm'nt
abash: 'ba°ś
abashed: 'ba°śt
abashedly: 'ba°śidlë
abasia: 'bä°źy'
abask: 'bá°sk
abate: 'bä°t
abated: 'bä°tid
abatement: 'bä°tm'nt
abatements: 'bä°tm'nts
abates: 'bä°ts
abating: 'bä°tiń
abatis: a°b'të
abatises: a°b'tisiz
abatjour: abaźü°r
abattoir: ab'twá°r
abaxial: aba°ksë'l
abb: a°b
Abba: a°b'
abbacy: a°b'së
Abbas: 'bo°s
Abbasid: a°b'sid
abbatial: 'bä°ś'l
abbe: abä°
abbes: abä°z
abbess: a°bis
Abbevillian: abvi°lë'n
abbey: a°bë
abbot: a°b't
Abbott: a°b't
abbreviate: 'brë°vëät
abbreviated: 'brë°vëätid
abbreviates: 'brë°vëäts
abbreviating: 'brë°vëätiń
abbreviation: 'brëvëä°ś'n
abbreviations: 'brëvëä°ś'nz
abbs: a°bz
Abby: a°bë
abcoulomb: abkü°lom
Abdias: abdï°'s
abdicant: a°bd'k'nt
abdicate: a°bd'kät
abdicated: a°bd'kät'd
abdicates: a°bd'käts
abdicating: a°bdikätiń
abdication: abdikä°ś'n
abdomen: a°bd'm'n
abdominal: abdo°m'n'l
abdominally: abdo°min'lë
abdominous: abdo°m'n's
abduce: abdü°s
abducens: abdü°senz
abducent: abdü°s'nt
abducentes: abdúse°ntëz
abduct: abdu°kt
abducted: abdu°ktid
abductee: abduktë°
abductees: abduktë°z
abducting: abdu°ktiń
abduction: abdu°kś'n
abductions: abdu°kś'nz
abductor: abdu°kt'r
abductors: abdu°kt'rz
abducts: abdu°kts
Abdul: abdü°l
Abe: ä°b
abeam: 'bë°m
abecedarian: äbësëdä°rë'n
abecedarium: äbësëdä°rë'm
abecedary: äbësë°d'rë
abed: 'be°d
Abednego: a°bedn'gö
Abel: ä°b'l
Abelard: a°b'lárd
abele: 'be°l
abeles: ä°b'lëz
Abelian: 'bë°lë'n
abelmosk: ä°b'lmosk
Abelson: a°bils'n
Abeokuta: á°bäö°kútá
Aberdare: a°b'rdär
Aberdeen: a°b'rdën
Aberdonian: ab'rdö°në'n
Abernathy: a°b'rnaþë
aberrant: abe°r'nt
aberration: ab'rä°ś'n
aberrational: ab'rä°ś'n'l
aberrations: ab'rä°ś'nz
abessive: abe°siv
abet: 'be°t
abetted: 'be°tid
abetter:> abettor
abetting: 'be°tiń
abettor: 'be°t'r
abeyance: 'bä°'ns
abeyant: 'bä°'nt
abfarad: abfa°rad
abhenry: abhe°nrë
abhominable: abhá°m'n'b'l
abhor: abhó°r
abhorred: 'bhó°rd
abhorrence: abho°r'ns
abhorrent: abhó°r'nt
abhorrently: abho°r'ntlë
abhors: 'bhó°rz
Abib: ä°bib
abidance: 'bï°d'ns
abide: 'bï°d
abides: 'bï°dz
abiding: 'bï°diń
