Word,POS,Vowel
abandonee,,e
ablatival,,e
acclimatization,,e
accusatival,,e
acidophilic,,e
acrobatically,,e
acrobatic,,e
adamantine,,e
admissibility,,e
aeronautical,,e
aeronautic,,e
agglutinogenic,,e
aggravation,,e
agonistic,,e
agoraphobia,,e
ailurophilia,,e
ailurophilic,,e
ailurophobia,,e
alcoholic,,e
algebraical,,e
alkalinity,,e
alkaloidal,,e
alkylation,,i
allocation,,e
allomorphic,,e
allomorphism,,e
allopathic,,e
allotypic,,e
alphabetical,,e
alphabetic,,e
amalgamation,,e
Andamanese,,e
androgenic,,e
anglophobic,,e
anonymity,,e
antagonistic,,e
antimonious,,e
Antoinette,,e
apocalyptic,,e
apocalypticism,,e
apocarpous,,e
apogean,,e
apomictic,,e
applicability,,e
Arawakan,,e
Areopagitic,,e
aristocratic,,e
astronautical,,e
astronautic,,e
atavistic,,e
autocratic,,e
automatically,,e
automatic,,e
automation,,e
bacchanalia,,a
balladeer,,e
bathymetric,,i
billionaire,,e
blastomeric,,e
blastoporal,,e
brontosaurus,,e
cabalistic,,e
cacodylic,,e
Canaanitic,,e
cannoneer,,e
capitalistic,,e
carapacial,,e
caravansary,,e
carbonation,,e
carbonylic,,e
carcinogenic,,e
cataclysmic,,e
catacumbal,,e
cenotaphic,,e
centralistic,,e
centrosomic,,e
charlatanic,,e
chiropractic,,e
cholagogic,,e
chromogenic,,e
chromophobic,,e
chromophoric,,e
cinnamonic,,e
claustrophobic,,e
climatologist,,e
climatology,,e
collocation,,e
commonsensical,,e
consonantal,,e
conspiratorial,,e
controvertible,,e
corsetiere,,i
cosmonautics,,e
councilmanic,,e
covenantee,,e
criminalistic,,e
decapodan,,e
Delawarean,,e
demagogic,,e
democratic,,e
demonology,,e
dermatophytic,,e
devastation,,e
developmental,,e
diabasic,,e
diachronic,,a
diagnosis,,e
diagnostic,,e
dialectal,,e
dialectical,,e
dialectic,,e
dialogistic,,e
diastasic,,e
diplomatic,,e
dolomitic,,e
dualistic,,e
economistic,,e
ectomeric,,e
ectomorphic,,e
ectophytic,,e
Ecuadoran,,e
Ecuadorean,,e
Ecuadorian,,e
egotistical,,e
egotistic,,e
Egyptology,,i
elastomeric,,e
electrolytic,,e
Elizabethan,,e
emanation,,e
embolismic,,e
emmenagogic,,e
enantiomorphism,,e
encapsulation,,e
endocrinal,,e
endodermal,,e
endomorphic,,e
entodermal,,e
environmental,,e
eosinophilia,,e
eosinophilic,,e
epagogic,,e
episcopalian,,e
escalation,,e
estrogenic,,e
euchologion,,o
eulogistic,,e
European,,e
euthanasia,,e
euthanasic,,e
exopoditic,,e
exosporal,,e
expurgatorial,,e
extravasation,,e
extroversion,,e
fallibility,,e
fatalistic,,e
femininity,,e
fenestration,,e
filamentous,,e
firmamental,,e
flexibility,,e
forestation,,e
fossiliferous,,e
fundamental,,e
galvanometer,,e
galvanometry,,e
galvanotropism,,e
gasolinic,,e
glauconitic,,e
glycogenesis,,e
glycogenic,,e
gonfalonier,,e
graptolitic,,e
guillotine,v,e
gymnospermous,,e
gyrostatic,,e
hallucinogenic,,e
halophytic,,e
harmonistic,,e
hectocotylus,,e
hedonistic,,e
hematinic,,e
hematitic,,e
hemostatic,,e
heterotrophic,,e
hexapodic,,e
hieroglyphic,,e
hieroglyphist,,e
hierogrammatic,,e
hippocampal,,o
histogenic,,e
homochromatism,,e
homochromous,,e
homographic,,e
homoiothermal,,e
homotypic,,e
horologic,,e
horologium,,e
horoscopic,,e
humanistic,,e
hyacinthine,,e
Hyacinthus,,e
hydrophobic,,e
hydrostatic,,e
hypocritical,,e
iconoclastic,,e
ignominious,,e
immolation,,e
imperatival,,e
impersonality,,e
infantility,,e
innovation,,e
intercalation,,e
interrogation,,e
involute,,e
involutional,,e
involution,,e
ionospheric,,e
isagogic,,e
isobaric,,e
isobathic,,e
isochoric,,e
isoclinal,,e
isoclinic,,e
isocratic,,e
isogonic,,e
isolation,,e
isomeric,,e
isomorphic,,e
isomorphous,,e
isothermal,,e
isotopic,,e
isotypic,,e
jalapic,,e
journalistic,,e
Labradorean,,e
laccolithic,,e
Langobardic,,e
laparoscopic,,e
laryngectomee,,e
laryngoscopical,,e
laryngoscopic,,e
lavatorial,,e
leukocytic,,e
