Trad,Pron,Stress
a,eI,2
ambi,ambI,A
anti,anti:,A
bi,baI,A
bio,baIoU,A
chemo,ki:moU,2
de,di:,2
di,daI,A
dis,dIs,A
endo,EndoU,2
en,En,2
ethno,ETnoU,2
ferro,fEroU,2
fore,f'or,A
geo,dZi:oU,A
hetero,hEt@`oU,2
hyper,haIp@`,A
immuno,Imj@noU,2
in,In,A
inter,Int@`,A
intra,Intr@,2
ir,Ir,A
iso,aIsoU,2
macro,makroU,A
meta,m'Et@,A
micro,maIkroU,A
mis,mIs,A
multi,mVltI,A
neo,ni:oU,A
neuro,nU:roU,A
non,nQn,2
omni,QmnI,A
on,Qn,A
out,aUt,A
over,oUv@`,A
paleo,pali:oU,2
per,p@`,2
phyto,faItoU,2
post,poUst,A
pre,pri:,A
pseudo,su:doU,A
re,ri:,A
semi,sEmi:,A
socio,s'oUsi:oU,2
spectro,spEktroU,2
sub,sVb,A
super,su:p@`,A
tele,tEl@,A
thermo,T3:moU,A
trans,trans,A
tri,traI,A
under,Vnd@`,A
uni,j'u:nI,A
un,Vn,2
zoo,zoU@,A
